                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.58902,                0.91869,                 1.2023,                0.70283,                0.71866,                0.76331,                0.60995,                0.55899,                0.85851,                 1.2219,               0.002377,               0.002377,               0.002377
                     79,                0.58052,                0.90866,                 1.1993,                0.68706,                0.79283,                0.77088,                0.62285,                0.54147,                0.85225,                 1.2069,               0.002278,               0.002278,               0.002278
                     80,                0.58657,                0.91575,                 1.2015,                0.66374,                0.82256,                0.76707,                0.61855,                0.54859,                0.86768,                 1.2347,               0.002179,               0.002179,               0.002179
                     81,                  0.582,                0.90618,                 1.1982,                0.66264,                0.81472,                 0.7582,                0.61439,                0.54516,                0.89107,                 1.2114,                0.00208,                0.00208,                0.00208
                     82,                0.57557,                0.89648,                 1.1907,                0.70721,                0.76291,                0.77533,                0.63088,                 0.5405,                0.83959,                 1.2036,               0.001981,               0.001981,               0.001981
                     83,                0.57679,                0.89049,                 1.1946,                0.68503,                0.76263,                  0.763,                0.62536,                0.54226,                0.86216,                 1.2161,               0.001882,               0.001882,               0.001882
                     84,                0.57621,                0.89502,                 1.1915,                0.61564,                 0.8207,                 0.7162,                0.57756,                0.54326,                 0.9161,                 1.2175,               0.001783,               0.001783,               0.001783
                     85,                0.56937,                0.89584,                 1.1881,                0.63902,                0.83911,                0.78747,                0.64298,                0.54363,                0.89424,                 1.2164,               0.001684,               0.001684,               0.001684
                     86,                0.57628,                0.89836,                 1.1949,                0.64107,                0.83816,                0.76284,                 0.6221,                 0.5519,                0.87242,                 1.2262,               0.001585,               0.001585,               0.001585
                     87,                0.57411,                0.89301,                 1.1911,                0.68717,                0.81549,                0.77894,                0.63178,                0.53901,                0.85125,                 1.2094,               0.001486,               0.001486,               0.001486
                     88,                0.56641,                0.87511,                  1.187,                0.71478,                0.76327,                0.77838,                0.62619,                0.54459,                0.86687,                 1.2165,               0.001387,               0.001387,               0.001387
                     89,                0.55693,                0.87535,                 1.1808,                0.66808,                0.82632,                0.76218,                0.61653,                0.53413,                0.88828,                  1.202,               0.001288,               0.001288,               0.001288
                     90,                0.56202,                0.87911,                 1.1814,                 0.6563,                 0.8192,                  0.751,                0.61428,                0.53881,                0.87963,                 1.2163,               0.001189,               0.001189,               0.001189
                     91,                0.56548,                0.88013,                 1.1866,                0.70616,                0.76522,                0.75927,                0.62491,                0.54332,                0.88415,                 1.2043,                0.00109,                0.00109,                0.00109
                     92,                0.55855,                0.87226,                 1.1809,                0.65423,                 0.8381,                0.76214,                0.62209,                0.53928,                0.88405,                 1.2146,               0.000991,               0.000991,               0.000991
                     93,                0.56504,                0.86609,                 1.1858,                0.66419,                0.81701,                0.77459,                0.63248,                0.53211,                 0.8691,                 1.1949,               0.000892,               0.000892,               0.000892
                     94,                0.55899,                0.86536,                 1.1793,                0.68697,                0.77175,                0.76742,                0.63164,                0.53173,                0.87898,                 1.1977,               0.000793,               0.000793,               0.000793
                     95,                0.55217,                0.84933,                 1.1795,                0.72451,                0.72856,                0.77393,                0.63212,                0.54111,                0.87342,                 1.2079,               0.000694,               0.000694,               0.000694
                     96,                0.55176,                0.85218,                 1.1764,                0.66795,                0.80329,                0.77072,                0.63011,                0.53675,                0.89366,                  1.207,               0.000595,               0.000595,               0.000595
                     97,                0.55282,                0.85009,                 1.1813,                 0.6178,                0.85248,                0.75392,                0.62444,                 0.5377,                0.91671,                 1.2071,               0.000496,               0.000496,               0.000496
                     98,                 0.5531,                0.85488,                 1.1793,                0.70648,                0.73667,                 0.7621,                0.63149,                0.52673,                0.88285,                 1.1914,               0.000397,               0.000397,               0.000397
                     99,                0.54715,                0.84003,                 1.1726,                0.64853,                0.81632,                0.75599,                0.62509,                0.53148,                0.89117,                 1.1965,               0.000298,               0.000298,               0.000298
                    100,                0.54268,                 0.8486,                 1.1714,                 0.6597,                0.82374,                0.77332,                 0.6427,                0.53291,                0.87966,                 1.1993,               0.000199,               0.000199,               0.000199
