                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.58484,                0.92848,                  1.164,                0.65397,                0.82336,                0.80081,                0.65091,                0.54025,                0.85695,                 1.1969,               0.001882,               0.001882,               0.001882
                     84,                0.58456,                0.93762,                 1.1624,                0.62284,                0.87363,                0.80308,                0.64949,                 0.5483,                 0.8326,                 1.2029,               0.001783,               0.001783,               0.001783
                     85,                 0.5791,                0.93346,                 1.1581,                0.73499,                0.77219,                0.81169,                0.66167,                0.53595,                0.82369,                 1.1859,               0.001684,               0.001684,               0.001684
                     86,                0.58826,                0.92562,                 1.1702,                 0.6493,                0.82136,                0.78906,                0.64204,                0.53575,                0.84753,                 1.1933,               0.001585,               0.001585,               0.001585
                     87,                0.57003,                0.91913,                 1.1539,                0.69064,                0.78407,                0.80005,                0.65793,                0.53133,                0.89912,                 1.1842,               0.001486,               0.001486,               0.001486
                     88,                0.58373,                0.91806,                 1.1647,                0.68122,                0.76345,                 0.7766,                0.62893,                 0.5407,                0.85673,                 1.1925,               0.001387,               0.001387,               0.001387
                     89,                0.57112,                0.92102,                 1.1601,                0.69549,                0.75548,                0.77521,                 0.6311,                0.54304,                0.85363,                 1.1992,               0.001288,               0.001288,               0.001288
                     90,                0.56963,                0.91557,                 1.1524,                0.69801,                0.80398,                0.79578,                0.64533,                 0.5356,                 0.8218,                 1.1914,               0.001189,               0.001189,               0.001189
                     91,                0.57328,                0.91119,                  1.157,                0.65151,                  0.843,                0.80062,                0.65187,                 0.5366,                0.86133,                 1.1942,                0.00109,                0.00109,                0.00109
                     92,                0.56999,                0.91121,                 1.1561,                0.65594,                0.83561,                0.80316,                0.65644,                0.53612,                0.84833,                 1.1919,               0.000991,               0.000991,               0.000991
                     93,                0.56391,                0.89281,                 1.1491,                0.63974,                0.87899,                0.81074,                0.66485,                0.53116,                0.82957,                 1.1908,               0.000892,               0.000892,               0.000892
                     94,                0.56846,                0.89681,                 1.1563,                0.65025,                0.86056,                 0.8039,                 0.6604,                0.52655,                0.83546,                 1.1789,               0.000793,               0.000793,               0.000793
                     95,                0.56424,                0.88786,                 1.1507,                0.73948,                0.71096,                0.78986,                0.64676,                0.52937,                0.81988,                 1.1818,               0.000694,               0.000694,               0.000694
                     96,                 0.5626,                0.88822,                 1.1465,                0.75528,                0.70783,                0.79697,                0.65461,                0.53605,                 0.8219,                 1.1893,               0.000595,               0.000595,               0.000595
                     97,                0.56186,                 0.8855,                 1.1492,                0.63924,                0.84685,                0.78863,                0.64945,                 0.5323,                0.82661,                 1.1858,               0.000496,               0.000496,               0.000496
                     98,                0.55932,                0.89165,                 1.1475,                0.66317,                0.79418,                0.78682,                0.64296,                0.52931,                0.81971,                 1.1843,               0.000397,               0.000397,               0.000397
                     99,                0.55552,                0.87791,                 1.1498,                0.65796,                 0.8226,                0.79988,                0.65691,                0.53239,                0.83378,                 1.1844,               0.000298,               0.000298,               0.000298
                    100,                0.54906,                0.87285,                 1.1363,                0.65053,                0.82854,                0.80178,                0.65817,                0.53297,                0.83126,                 1.1867,               0.000199,               0.000199,               0.000199
